Mol,mass,RT1_theoretical,RT2_theoretical,RT1_corrected,RT2_corrected,name,cas,match_factor,reverse_match_factor,spec_loc,hit_prob
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.32889653674901,1.174496644295302,"Cyclotrisiloxane, hexamethyl-",541-5-9,652,810,69464584,16.52
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.32889653674901,1.174496644295302,"Silane, triethyl(2-phenylethoxy)-",14629-62-0,644,692,39451447,12.32
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.32889653674901,1.174496644295302,"Arsenous acid, tris(trimethylsilyl) ester",55429-29-3,631,724,70591182,7.96
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.32889653674901,1.174496644295302,"2-(p-Tolyl)propan-2-ol, TMS",1403992-16-4,626,650,38332613,6.41
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.32889653674901,1.174496644295302,"1,2-Benzisothiazol-3-amine, TBDMS derivative",---,625,654,2731828,6.16
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.32889653674901,1.174496644295302,"Thymol, TBDMS derivative",330455-64-6,619,653,34146405,4.84
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.08389261744966443,"Nonanoic acid, methyl ester",1731-84-6,842,867,62810512,41.98
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.08389261744966443,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,773,823,47709570,6.23
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.08389261744966443,"7-Methyloctanoic acid, methyl ester",5129-53-3,772,789,64217284,5.99
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.08389261744966443,"3-Propylhexanoic acid, methyl ester",73999-15-2,765,794,1375552,4.59
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.08389261744966443,"Octanoic acid, methyl ester",111-11-5,763,796,53560689,4.23
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.08389261744966443,"Undecanoic acid, 2-methyl-",24323-25-9,759,831,51602293,3.57
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,"Decanoic acid, methyl ester",110-42-9,830,865,64774616,55.56
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,Methyl 8-methyl-nonanoate,---,799,829,55797097,15.14
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,771,835,47709570,4.37
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,"Undecanoic acid, 2-methyl-",24323-25-9,762,849,51602293,3.17
